"RNAiID","batchID","RNAi_geneName","RNAi_WBID","RNAi_seeding_stage","intended_RNAi_gene_name","intended_RNAi_WBID","note","RNAi_identity_QC","isValidRNAi","isICEL","isMetabolic","incl_in_mGRN","isResponsive","N_DE_targetExcluded"
"x.sphk_1 met1_lib2","met1_lib2","sphk-1","WBGene00007918","L1","sphk-1","WBGene00007918",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,6
"x.F54D5.12 met1_lib2","met1_lib2","F54D5.12","WBGene00010055","L1","F54D5.12","WBGene00010055",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,36
"x.fat_2 met1_lib2","met1_lib2","fat-2","WBGene00001394","L2","fat-2","WBGene00001394",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,83
"x.sms_2 met1_lib2","met1_lib2","sms-2","WBGene00004893","L1","sms-2","WBGene00004893",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,1
"x.lis_1 met1_lib2","met1_lib2","lis-1","WBGene00003047","L1","lis-1","WBGene00003047",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,0
"x.acdh_3 met1_lib2","met1_lib2","acdh-3","WBGene00019433","L1","acdh-3","WBGene00019433",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,109
"x.Y51A2D.13 met1_lib2","met1_lib2","Y51A2D.13","WBGene00013080","L1","Y51A2D.13","WBGene00013080",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,2
"x.elo_2 met1_lib2","met1_lib2","elo-2","WBGene00001240","L2","elo-2","WBGene00001240",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,102
"x.alh_8 met1_lib2","met1_lib2","alh-8","WBGene00000114","L1","alh-8","WBGene00000114",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,38
"x.psd_1 met1_lib2","met1_lib2","psd-1","WBGene00015159","L1","psd-1","WBGene00015159",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,0
"x.ech_4 met1_lib3","met1_lib3","ech-4","WBGene00001153","L1","ech-4","WBGene00001153",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,0
"x.elo_5 met1_lib3","met1_lib3","elo-5","WBGene00001243","L2","elo-5","WBGene00001243",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,69
"x.acdh_6 met1_lib3","met1_lib3","acdh-6","WBGene00015335","L1","acdh-6","WBGene00015335",NA,"correct",TRUE,FALSE,TRUE,FALSE,FALSE,1
"x.acl_7 met1_lib3","met1_lib3","acl-7","WBGene00012911","L1","acl-7","WBGene00012911",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,1
"x.fat_3 met1_lib3","met1_lib3","fat-3","WBGene00001395","L1","fat-3","WBGene00001395",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,6
"x.T02G5.7 met1_lib3","met1_lib3","T02G5.7","WBGene00020166","L1","T02G5.7","WBGene00020166",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,6
"x.acdh_5 met1_lib3","met1_lib3","acdh-5","WBGene00016491","L1","acdh-5","WBGene00016491",NA,"correct",TRUE,FALSE,TRUE,FALSE,FALSE,3
"x.asah_2 met1_lib3","met1_lib3","asah-2","WBGene00009192","L1","asah-2","WBGene00009192",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,1
"x.F25E2.3 met1_lib3","met1_lib3","F25E2.3","WBGene00017781","L1","F25E2.3","WBGene00017781",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,1
"x.zip_12 met1_lib3","met1_lib3","zip-12","WBGene00013560","L1","ech-6","WBGene00001155",NA,"swap",TRUE,FALSE,FALSE,FALSE,TRUE,5
"x.gta_1 met1_lib4","met1_lib4","gta-1","WBGene00001794","L1","gta-1","WBGene00001794",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,48
"x.elo_7 met1_lib4","met1_lib4","elo-7","WBGene00001245","L1","elo-7","WBGene00001245",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,2
"x.F33D4.4 met1_lib4","met1_lib4","F33D4.4","WBGene00017996","L1","F33D4.4","WBGene00017996",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,2
"x.F54D5.7 met1_lib4","met1_lib4","F54D5.7","WBGene00010052","L1","F54D5.7","WBGene00010052",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,2
"x.RCBVECTOR_acdh_7 met1_lib4","met1_lib4","RCBVECTOR-acdh-7",NA,"L1","acdh-7","WBGene00020812","Failed to pass RNAi identity QC and Sanger sequencing found a recombined vector, with multiple cloning site truncated and T7 promotor deleted. Therefore, the RNAi plasmid lacked valid dsRNA expression region, which is likely a result of vector recombination, and is expected to be deficient in producing dsRNA.","error",FALSE,FALSE,FALSE,FALSE,TRUE,22
"x.W03D8.8 met1_lib4","met1_lib4","W03D8.8","WBGene00020989","L1","W03D8.8","WBGene00020989",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,1
"x.ech_9 met1_lib4","met1_lib4","ech-9","WBGene00001158","L1","ech-9","WBGene00001158",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,1
"x.elo_6 met1_lib4","met1_lib4","elo-6","WBGene00001244","L1","elo-6","WBGene00001244",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,20
"x.acs_4 met1_lib4","met1_lib4","acs-4","WBGene00018152","L2","acs-4","WBGene00018152",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,70
"x.gpdh_2 met1_lib4","met1_lib4","gpdh-2","WBGene00010778","L1","gpdh-2","WBGene00010778",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,1
"x.B0303.3 met1_lib4","met1_lib4","B0303.3","WBGene00015125","L1","B0303.3","WBGene00015125",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,0
"x.fat_4 met1_lib5","met1_lib5","fat-4","WBGene00001396","L1","fat-4","WBGene00001396",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,6
"x.acdh_10 met1_lib5","met1_lib5","acdh-10","WBGene00020366","L1","acdh-10","WBGene00020366",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,30
"x.kat_1 met1_lib5","met1_lib5","kat-1","WBGene00002183","L1","kat-1","WBGene00002183",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,1
"x.ech_8 met1_lib5","met1_lib5","ech-8","WBGene00001157","L1","ech-8","WBGene00001157",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,1
"x.acdh_9 met1_lib5","met1_lib5","acdh-9","WBGene00017874","L1","acdh-9","WBGene00017874",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,2
"x.acs_13 met1_lib5","met1_lib5","acs-13","WBGene00022037","L1","acs-13","WBGene00022037",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,1
"x.cerk_1 met1_lib5","met1_lib5","cerk-1","WBGene00020398","L1","cerk-1","WBGene00020398",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,1
"x.atgl_1 met1_lib5","met1_lib5","atgl-1","WBGene00015484","L1","atgl-1","WBGene00015484",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,0
"x.agmo_1 met1_lib5","met1_lib5","agmo-1","WBGene00007210","L1","agmo-1","WBGene00007210",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,127
"x.cgt_3 met1_lib6","met1_lib6","cgt-3","WBGene00019127","L1","cgt-3","WBGene00019127",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,154
"x.B0272.3 met1_lib6","met1_lib6","B0272.3","WBGene00007129","L1","B0272.3","WBGene00007129",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,0
"x.acdh_12 met1_lib6","met1_lib6","acdh-12","WBGene00017125","L1","acdh-12","WBGene00017125",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,1
"x.cdgs_1 met1_lib6","met1_lib6","cdgs-1","WBGene00016384","L1","cdgs-1","WBGene00016384",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,272
"x.sptl_3 met1_lib6","met1_lib6","sptl-3","WBGene00011932","L1","sptl-3","WBGene00011932",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,6
"x.acdh_11 met1_lib6","met1_lib6","acdh-11","WBGene00012860","L1","acdh-11","WBGene00012860",NA,"correct",TRUE,FALSE,TRUE,TRUE,TRUE,13
"x.dbt_1 met1_lib6","met1_lib6","dbt-1","WBGene00014054","L1","dbt-1","WBGene00014054",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,63
"x.gba_4 met1_lib6","met1_lib6","gba-4","WBGene00021160","L1","gba-4","WBGene00021160",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,1
"x.cka_1 met1_lib6","met1_lib6","cka-1","WBGene00000509","L1","cka-1","WBGene00000509",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,0
"x.ssq_2 met1_lib6","met1_lib6","ssq-2","WBGene00006051","L1","acaa-2","WBGene00009952",NA,"swap",TRUE,FALSE,FALSE,FALSE,FALSE,1
"x.C05C10.3 met1_lib6","met1_lib6","C05C10.3","WBGene00007330","L1","C05C10.3","WBGene00007330",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,3
"x.F42F12.3 met2_lib1","met2_lib1","F42F12.3","WBGene00009635","L1","F42F12.3","WBGene00009635",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,26
"x.acl_6 met2_lib1","met2_lib1","acl-6","WBGene00017261","L1","acl-6","WBGene00017261",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,1
"x.M05B5.4 met2_lib1","met2_lib1","M05B5.4","WBGene00010872","L1","M05B5.4","WBGene00010872",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,33
"x.bckd_1B met2_lib1","met2_lib1","bckd-1B","WBGene00006518","L1","bckd-1B","WBGene00006518",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,189
"x.NOSIGNAL_T09B4.8 met2_lib1","met2_lib1","NOSIGNAL-T09B4.8",NA,"L1","T09B4.8","WBGene00020382","Failed to pass RNAi identity QC and Sanger sequencing of the RNAi plasmid returned no signal from both sides of the multiple cloning site. The RNAi identity of the condition is unclear.","error",FALSE,FALSE,FALSE,FALSE,TRUE,10
"x.paf_1 met2_lib1","met2_lib1","paf-1","WBGene00003906","L1","paf-1","WBGene00003906",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,1
"x.R05D11.9 met2_lib1","met2_lib1","R05D11.9","WBGene00011037","L1","R05D11.9","WBGene00011037",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,0
"x.W02H5.8 met2_lib1","met2_lib1","W02H5.8","WBGene00020962","L1","W02H5.8","WBGene00020962",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,164
"x.sms_1 met2_lib1","met2_lib1","sms-1","WBGene00004892","L1","sms-1","WBGene00004892",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,1
"x.ads_1 met2_lib1","met2_lib1","ads-1","WBGene00000081","L1","ads-1","WBGene00000081",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,314
"x.sorf_2 met2_lib1","met2_lib1","sorf-2","WBGene00018672","L1","F52C9.3","WBGene00018674",NA,"swap",TRUE,FALSE,FALSE,FALSE,FALSE,1
"x.alh_7 met2_lib1","met2_lib1","alh-7","WBGene00000113","L1","alh-7","WBGene00000113",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,55
"x.ctc_2 met2_lib1","met2_lib1","ctc-2","WBGene00010965","L1","ctc-2","WBGene00010965",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,1
"x.pmt_1 met2_lib2","met2_lib2","pmt-1","WBGene00022781","L2","pmt-1","WBGene00022781",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,2698
"x.hacd_1 met2_lib2","met2_lib2","hacd-1","WBGene00019978","L1","hacd-1","WBGene00019978",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,42
"x.nhr_282 met2_lib2","met2_lib2","nhr-282","WBGene00010017","L1","ech-7","WBGene00001156",NA,"swap",TRUE,FALSE,FALSE,FALSE,FALSE,3
"x.ctc_1 met2_lib2","met2_lib2","ctc-1","WBGene00010964","L1","ctc-1","WBGene00010964",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,8
"x.ath_1 met2_lib2","met2_lib2","ath-1","WBGene00010564","L1","ath-1","WBGene00010564",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,1
"x.hyl_2 met2_lib2","met2_lib2","hyl-2","WBGene00002044","L1","hyl-2","WBGene00002044",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,0
"x.C31H5.6 met2_lib2","met2_lib2","C31H5.6","WBGene00007857","L1","C31H5.6","WBGene00007857",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,3
"x.acs_15 met2_lib2","met2_lib2","acs-15","WBGene00019920","L1","acs-15","WBGene00019920",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,1
"x.acl_1 met2_lib2","met2_lib2","acl-1","WBGene00010339","L1","acl-1","WBGene00010339",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,1
"x.ZC155.4 met2_lib2","met2_lib2","ZC155.4","WBGene00022532","L1","ZC155.4","WBGene00022532",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,1
"x.fat_5 met2_lib2","met2_lib2","fat-5","WBGene00001397","L1","fat-5","WBGene00001397",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,8
"x.fard_1 met2_lib3","met2_lib3","fard-1","WBGene00022200","L1","fard-1","WBGene00022200",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,27
"x.RCBVECTOR__cox_4 met2_lib3","met2_lib3","RCBVECTOR-eppl-1",NA,"L1","cox-4","WBGene00012354","Failed to pass RNAi identity QC and Sanger sequencing found an unexplained recombined plasmid. Sanger sequencing by M13F showed ORF of eppl-1 insterted after T7 promotor, but  sequencing from the opposite site of insertion showed no insertion. Therefore, the RNAi plasmid lacked valid dsRNA expression region, which is likely a result of vector recombination, and is expected to be deficient in producing dsRNA. [NOTE: The RNAi identity of this clone has been changed in a later stage of this project, based on recent Sanger sequencing results or criteria. This caused the inconsistency between the RNAi ID and RNAi target gene name. Please refer to RNAi target gene name for the final definition of this RNAi identity.]","error",FALSE,FALSE,FALSE,FALSE,TRUE,32
"x.ech_3 met2_lib3","met2_lib3","ech-3","WBGene00001152","L1","ech-3","WBGene00001152",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,3
"x.dgk_2 met2_lib3","met2_lib3","dgk-2","WBGene00000959","L1","dgk-2","WBGene00000959",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,0
"x.paf_2 met2_lib3","met2_lib3","paf-2","WBGene00003907","L1","paf-2","WBGene00003907",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,1
"x.ttm_5 met2_lib3","met2_lib3","ttm-5","WBGene00013197","L1","ttm-5","WBGene00013197",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,18
"x.Y45G12B.3 met2_lib3","met2_lib3","Y45G12B.3","WBGene00021564","L1","R08F11.1","WBGene00019965",NA,"swap",TRUE,TRUE,TRUE,FALSE,FALSE,1
"x.hpo_8 met2_lib3","met2_lib3","hpo-8","WBGene00020517","L1","hpo-8","WBGene00020517",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,395
"x.hach_1 met2_lib3","met2_lib3","hach-1","WBGene00017301","L1","hach-1","WBGene00017301",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,401
"x.acl_9 met2_lib3","met2_lib3","acl-9","WBGene00022646","L1","Y45G12B.3","WBGene00021564",NA,"swap",TRUE,TRUE,TRUE,FALSE,FALSE,0
"x.ace_1 met2_lib4","met2_lib4","ace-1","WBGene00000035","L1","ace-1","WBGene00000035",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,9
"x.K01C8.1 met2_lib4","met2_lib4","K01C8.1","WBGene00010456","L1","fat-7","WBGene00001399",NA,"swap",TRUE,TRUE,TRUE,FALSE,FALSE,0
"x.pssy_1 met2_lib4","met2_lib4","pssy-1","WBGene00013920","L1","pssy-1","WBGene00013920",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,56
"x.ZK370.4 met2_lib4","met2_lib4","ZK370.4","WBGene00022718","L1","ZK370.4","WBGene00022718",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,0
"x.VECTORLIKE_W02F12.2 met2_lib4","met2_lib4","RCBVECTOR-W02F12.2",NA,"L1","W02F12.2","WBGene00020947","Failed to pass RNAi identity QC and Sanger sequencing found 10bp insertion followed by a large deletion ( ~250bp) of the plasmid backbone including the T7 promotor. Therefore, the RNAi plasmid lacked valid dsRNA expression region, which is likely a result of vector recombination, and is expected to be deficient in producing dsRNA. [NOTE: The RNAi identity of this clone has been changed in a later stage of this project, based on recent Sanger sequencing results or criteria. This caused the inconsistency between the RNAi ID and RNAi target gene name. Please refer to RNAi target gene name for the final definition of this RNAi identity.]","error",FALSE,FALSE,FALSE,FALSE,FALSE,2
"x.C07E3.9 met2_lib4","met2_lib4","C07E3.9","WBGene00007419","L1","C07E3.9","WBGene00007419",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,7
"x.mrpl_55 met2_lib4","met2_lib4","mrpl-55","WBGene00022045","L1","asm-3","WBGene00000213",NA,"swap",TRUE,FALSE,FALSE,FALSE,TRUE,70
"x.nlt_1 met2_lib4","met2_lib4","nlt-1","WBGene00003773","L1","nlt-1","WBGene00003773",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,2
"x.sptl_1 met2_lib4","met2_lib4","sptl-1","WBGene00016020","L2","sptl-1","WBGene00016020",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,878
"x.spl_1 met2_lib4","met2_lib4","spl-1","WBGene00004981","L1","spl-1","WBGene00004981",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,385
"x.bckd_1A met2_lib4","met2_lib4","bckd-1A","WBGene00012713","L1","bckd-1A","WBGene00012713",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,60
"x.C56G3.2 met2_lib5","met2_lib5","C56G3.2","WBGene00016985","L1","C56G3.2","WBGene00016985",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,1
"x.VECTORLIKE_acs_3 met2_lib5","met2_lib5","NOSIGNAL-acs-3",NA,"L1","acs-3","WBGene00020343","Failed to pass RNAi identity QC and Sanger sequencing of the RNAi plasmid returned no signal when sequenced from both side. The RNAi identity of the condition is unclear. [NOTE: The RNAi identity of this clone has been changed in a later stage of this project, based on recent Sanger sequencing results or criteria. This caused the inconsistency between the RNAi ID and RNAi target gene name. Please refer to RNAi target gene name for the final definition of this RNAi identity.]","error",FALSE,FALSE,FALSE,FALSE,FALSE,3
"x.VECTORLIKE_cka_2 met2_lib5","met2_lib5","SHORT-cka-2",NA,"L1","cka-2","WBGene00000510","Failed to pass RNAi identity QC due to low efficiency and/or lack of target dsRNA signals. Sanger sequencing of the RNAi plasmid identified ~150bp insertion with 23bp targeting to an exon and 25bp to an exon-intron junction of cka-2, which is a truncated (short) insert of a regular RNAi clone and may or may not give a knockdown effect. [NOTE: The RNAi identity of this clone has been changed in a later stage of this project, based on recent Sanger sequencing results or criteria. This caused the inconsistency between the RNAi ID and RNAi target gene name. Please refer to RNAi target gene name for the final definition of this RNAi identity.]","error",FALSE,FALSE,FALSE,FALSE,TRUE,6
"x.acl_2 met2_lib5","met2_lib5","acl-2","WBGene00011543","L1","acl-2","WBGene00011543",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,0
"x.cpt_2 met2_lib5","met2_lib5","cpt-2","WBGene00011122","L1","cpt-2","WBGene00011122",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,0
"x.K07B1.4 met2_lib5","met2_lib5","K07B1.4","WBGene00019464","L1","K07B1.4","WBGene00019464",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,12
"x.C27A7.5 met2_lib5","met2_lib5","C27A7.5","WBGene00007756","L1","C27A7.5","WBGene00007756",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,0
"x.T03G6.3 met2_lib5","met2_lib5","T03G6.3","WBGene00020195","L1","T03G6.3","WBGene00020195",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,0
"x.hphd_1 met2_lib5","met2_lib5","hphd-1","WBGene00012608","L1","hphd-1","WBGene00012608",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,31
"x.T12B3.3 met2_lib5","met2_lib5","T12B3.3","WBGene00020446","L1","T12B3.3","WBGene00020446",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,0
"x.F09G2.8 met2_lib5","met2_lib5","F09G2.8","WBGene00017316","L1","F09G2.8","WBGene00017316",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,1
"x.daf_22 met2_lib6","met2_lib6","daf-22","WBGene00013284","L1","daf-22","WBGene00013284",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,72
"x.ttr_12 met2_lib6","met2_lib6","ttr-12","WBGene00009759","L1","ckb-4","WBGene00000514",NA,"swap",TRUE,FALSE,FALSE,FALSE,FALSE,1
"x.fat_1 met2_lib6","met2_lib6","fat-1","WBGene00001393","L1","fat-1","WBGene00001393",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,1
"x.dgtr_1 met2_lib6","met2_lib6","dgtr-1","WBGene00020910","L1","dgtr-1","WBGene00020910",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,2
"x.hyl_1 met2_lib6","met2_lib6","hyl-1","WBGene00002043","L1","hyl-1","WBGene00002043",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,0
"x.acs_5 met2_lib6","met2_lib6","acs-5","WBGene00013575","L1","acs-5","WBGene00013575",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,4
"x.cept_2 met2_lib6","met2_lib6","cept-2","WBGene00013024","L1","cept-2","WBGene00013024",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,0
"x.mboa_4 met2_lib6","met2_lib6","mboa-4","WBGene00007446","L1","mboa-4","WBGene00007446",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,0
"x.dgk_4 met2_lib6","met2_lib6","dgk-4","WBGene00006483","L1","dgk-4","WBGene00006483",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,0
"x.agxt_1 met3_lib1","met3_lib1","agxt-1","WBGene00011767","L1","agxt-1","WBGene00011767",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,1
"x.bas_1 met3_lib1","met3_lib1","bas-1","WBGene00000239","L1","bas-1","WBGene00000239",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,0
"x.hmgr_1 met3_lib1","met3_lib1","hmgr-1","WBGene00017268","L1","hmgr-1","WBGene00017268",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,269
"x.F42F12.4 met3_lib1","met3_lib1","F42F12.4","WBGene00009636","L1","F42F12.4","WBGene00009636",NA,"correct",TRUE,TRUE,TRUE,TRUE,TRUE,37
"x.C14E2.4 met3_lib1","met3_lib1","C14E2.4","WBGene00015773","L1","C14E2.4","WBGene00015773",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,0
"x.Y62E10A.13 met3_lib1","met3_lib1","Y62E10A.13","WBGene00013379","L1","Y62E10A.13","WBGene00013379",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,0
"x.prdh_1 met3_lib1","met3_lib1","prdh-1","WBGene00007197","L1","prdh-1","WBGene00007197",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,1
"x.mrpl_44 met3_lib1","met3_lib1","mrpl-44/mccc-2","WBGene00008514/WBGene00303021","L1","mrpl-44","WBGene00008514","This RNAi clone targets to the transcript that was annotated as F02A9.4a in earlier WormBase versions, which corresponds to the WormBase ID WBGene00008514. This WormBase ID is linked to methylcrotonoyl-CoA carboxylase beta subunit in functional gene annotations such as WormCat or WormPath. However, transcript F02A9.4a was later reannotated to be an individual gene mccc-2, whose WBID is WBGene00303021 in WormBase. Meanwhile, WBGene00008514 gene was changed to mrpl-44. We confirmed that our RNAi clone targets to the ORF of newly defined mccc-2, which, however, has a short (~150bp) overlap with the ORF of mrpl-44. Therefore, the RNAi primarily targets to mccc-2 with a potential off-target effect on mrpl-44. We label the target gene information as mrpl-44/mccc-2 to indicate this historical issue as well as potential multiple targeting effects. For convenience, the gene name of this target gene is still used as mrpl-44 (WBGene00008514) in our rewiring analysis, to correctly link it to its functional annotations (methylcrotonoyl-CoA carboxylase beta subunit).","correct",TRUE,TRUE,TRUE,TRUE,TRUE,287
"x.ZC373.5 met3_lib1","met3_lib1","ZC373.5","WBGene00013870","L1","ZC373.5","WBGene00013870",NA,"correct",TRUE,TRUE,TRUE,FALSE,FALSE,4
