rxnID,rxnFormula,LB,UB,note
RC01001,h2o[c] + cyst-L[c]  -> nh4[c] + 2obut[c] + cys-L[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RM02565,nad[m] + h2o[m] + betald[m]  -> nadh[m] + 2 h[m] + glyb[m] ,0,1000,"Original iCEL1314 reaction and default constraints."
RM01025,chol[m] + fad[m]  <=> betald[m] + fadh2[m] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC00751,thr-L[c]  <=> acald[c] + gly[c] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC06171,athr-L[c]  <=> acald[c] + gly[c] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RM00371,accoa[m] + gly[m]  <=> coa[m] + 2aobut[m] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RM01465,nad[m] + thr-L[m]  <=> nadh[m] + h[m] + 2aobut[m] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC00782,h2o[c] + cys-L[c]  -> pyr[c] + nh4[c] + h2s[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC00897,h2s[c] + acser[c]  -> h[c] + ac[c] + cys-L[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RM02433,akg[m] + Lcyst[m]  <=> glu-L[m] + 3spyr[m] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC02619,h[c] + akg[c] + 3sala[c]  <=> glu-L[c] + 3snpyr[c] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RM02619,h[m] + akg[m] + 3sala[m]  <=> glu-L[m] + 3snpyr[m] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC00893,o2[c] + cys-L[c]  -> 2 h[c] + 3sala[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RCC0009,h2o[c] + 3snpyr[c]  -> h[c] + pyr[c] + so3[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RMC0009,h2o[m] + 3snpyr[m]  -> pyr[m] + h[m] + so3[m] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC03104,nad[c] + mercplac[c]  <=> h[c] + nadh[c] + mercppyr[c] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC00946,hcys-L[c] + 5mthf[c]  -> h[c] + met-L[c] + thf[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC00192,h2o[c] + ahcys[c]  <=> hcys-L[c] + adn[c] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC00177,atp[c] + h2o[c] + met-L[c]  -> pi[c] + ppi[c] + amet[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC00178,h[c] + amet[c]  -> co2[c] + ametam[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC01920,ametam[c] + ptrc[c]  -> h[c] + 5mta[c] + spmd[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC02869,ametam[c] + spmd[c]  -> h[c] + 5mta[c] + sprm[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC01402,pi[c] + 5mta[c]  <=> 5mdr1p[c] + ade[c] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC07396,glu-L[c] + 2kmb[c]  -> akg[c] + met-L[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC07392,5mdru1p[c]  -> h2o[c] + dkmpp[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RCC0010,h2o[c] + o2[c] + dkmpp[c]  -> 2 h[c] + pi[c] + 2kmb[c] + for[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RM01090,akg[m] + leu-L[m]  <=> glu-L[m] + 4mop[m] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RM01214,akg[m] + val-L[m]  <=> glu-L[m] + 3mob[m] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RM02199,akg[m] + ile-L[m]  <=> glu-L[m] + 3mop[m] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RMC0011,coa[m] + nad[m] + 4mop[m]  -> co2[m] + nadh[m] + ivcoa[m] ,0,1000,"Original iCEL1314 reaction and default constraints."
RMC0012,coa[m] + nad[m] + 3mob[m]  -> co2[m] + nadh[m] + ibcoa[m] ,0,1000,"Original iCEL1314 reaction and default constraints."
RMC0013,coa[m] + nad[m] + 3mop[m]  -> co2[m] + nadh[m] + 2mbcoa[m] ,0,1000,"Original iCEL1314 reaction and default constraints."
RM04096,ivcoa[m] + etfox[m]  -> 3mb2coa[m] + etfrd[m] ,0,1000,"Original iCEL1314 reaction and default constraints."
RM02661,ibcoa[m] + etfox[m]  <=> etfrd[m] + 2mp2coa[m] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RM03172,2mbcoa[m] + etfox[m]  <=> etfrd[m] + 2mb2coa[m] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RM04138,atp[m] + hco3[m] + 3mb2coa[m]  -> h[m] + adp[m] + pi[m] + 3mgcoa[m] ,0,1000,"Original iCEL1314 reaction and default constraints."
RM04204,h2o[m] + 2mb2coa[m]  <=> 3hmbcoa[m] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RM04224,h2o[m] + 2mp2coa[m]  <=> 3hibutcoa[m] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RM05064,h2o[m] + 3hibutcoa[m]  -> coa[m] + h[m] + 3hmp[m] ,0,1000,"Original iCEL1314 reaction and default constraints."
RM04203,nad[m] + 3hmbcoa[m]  <=> nadh[m] + h[m] + 2maacoa[m] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RM05066,nad[m] + 3hmp[m]  <=> nadh[m] + h[m] + 2mop[m] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RM01360,hmgcoa[m]  -> accoa[m] + acac[m] ,0,1000,"Original iCEL1314 reaction and default constraints."
RM00410,succoa[m] + acac[m]  <=> succ[m] + aacoa[m] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC01978,h2o[c] + accoa[c] + aacoa[c]  -> h[c] + coa[c] + hmgcoa[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RM00927,coa[m] + 2maacoa[m]  <=> accoa[m] + ppcoa[m] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RM04188,glu-L[m] + 2mop[m]  <=> akg[m] + 3aib[m] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RM00935,coa[m] + nad[m] + 2mop[m]  -> co2[m] + nadh[m] + ppcoa[m] ,0,1000,"Original iCEL1314 reaction and default constraints."
RM01859,atp[m] + hco3[m] + ppcoa[m]  -> h[m] + adp[m] + pi[m] + mmcoa-S[m] ,0,1000,"Original iCEL1314 reaction and default constraints."
RM02765,mmcoa-R[m]  <=> mmcoa-S[m] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RM00833,mmcoa-R[m]  <=> succoa[m] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RM00716,h[m] + akg[m] + nadph[m] + lys-L[m]  <=> h2o[m] + nadp[m] + saccrp-L[m] ,-0.01,1000,"Restricting non-canonical NADPH production flux. Canonical reactions were selected based on PMID: 24805240 (incl. RM00248, RC02736, RC01528, RC00267, RM00267, RM01220, RC01220 and RM00216)."
RM02313,nad[m] + h2o[m] + saccrp-L[m]  <=> nadh[m] + h[m] + glu-L[m] + L2aadp6sa[m] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RM03102,nad[m] + h2o[m] + L2aadp6sa[m]  -> nadh[m] + 2 h[m] + L2aadp[m] ,0,1000,"Original iCEL1314 reaction and default constraints."
RM03103,h2o[m] + nadp[m] + L2aadp6sa[m]  -> 2 h[m] + nadph[m] + L2aadp[m] ,0,0.01,"Restricting non-canonical NADPH production flux. Canonical reactions were selected based on PMID: 24805240 (incl. RM00248, RC02736, RC01528, RC00267, RM00267, RM01220, RC01220 and RM00216)."
RMC0014,coa[m] + nad[m] + 2oxoadp[m]  -> co2[m] + nadh[m] + glutcoa[m] ,0,1000,"Original iCEL1314 reaction and default constraints."
RM03026,3hbcoa[m]  <=> h2o[m] + b2coa[m] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RM01975,nadh[m] + h[m] + aacoa[m]  <=> nad[m] + 3hbcoa[m] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC03875,amet[c] + Nlys[c]  -> h[c] + ahcys[c] + Nmelys[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC04866,amet[c] + Nmelys[c]  -> h[c] + ahcys[c] + Ndmelys[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC04867,amet[c] + Ndmelys[c]  -> h[c] + ahcys[c] + Ntmelys[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC03376,akg[c] + o2[c] + pcollglys[c]  <=> co2[c] + pcollg5hlys[c] + succ[c] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC03283,h2o[c] + nad[c] + 4tmeabut[c]  -> 2 h[c] + nadh[c] + 4tmeabutn[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC02397,akg[c] + o2[c] + 4tmeabutn[c]  -> co2[c] + succ[c] + crn[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RM00667,akg[m] + orn[m]  <=> glu-L[m] + glu5sa[m] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RMC0015,glu5sa[m]  <=> h2o[m] + h[m] + 1pyr5c[m] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RM01248,nadh[m] + 2 h[m] + 1pyr5c[m]  -> nad[m] + pro-L[m] ,0,1000,"Original iCEL1314 reaction and default constraints."
RM01253,fad[m] + pro-L[m]  -> h[m] + fadh2[m] + 1pyr5c[m] ,0,1000,"Original iCEL1314 reaction and default constraints."
RM00245,nad[m] + h2o[m] + glu5sa[m]  -> nadh[m] + 2 h[m] + glu-L[m] ,0,1000,"Original iCEL1314 reaction and default constraints."
RM03313,h[m] + nadph[m] + glu5p[m]  -> pi[m] + nadp[m] + glu5sa[m] ,0,1000,"Original iCEL1314 reaction and default constraints."
RM00239,atp[m] + glu-L[m]  -> adp[m] + glu5p[m] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC01252,akg[c] + o2[c] + pro-L[c]  -> co2[c] + succ[c] + 4hpro-LT[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC00670,h[c] + orn[c]  -> co2[c] + ptrc[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RM03291,nad[m] + 4hpro-LT[m]  <=> nadh[m] + 2 h[m] + 1p3h5c[m] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RM03293,nadp[m] + 4hpro-LT[m]  <=> 2 h[m] + nadph[m] + 1p3h5c[m] ,-1000,0.01,"Restricting non-canonical NADPH production flux. Canonical reactions were selected based on PMID: 24805240 (incl. RM00248, RC02736, RC01528, RC00267, RM00267, RM01220, RC01220 and RM00216)."
RM05051,nad[m] + h2o[m] + 4hglusa[m]  -> nadh[m] + 2 h[m] + e4hglu[m] ,0,1000,"Original iCEL1314 reaction and default constraints."
RMC0016,h2o[m] + h[m] + 1p3h5c[m]  <=> 4hglusa[m] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RM05052,akg[m] + e4hglu[m]  -> glu-L[m] + 4h2oglt[m] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC05052,akg[c] + e4hglu[c]  -> glu-L[c] + 4h2oglt[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC00669,h2o[c] + acorn[c]  <=> ac[c] + orn[c] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RM01251,2 h[m] + nadph[m] + 1pyr5c[m]  -> nadp[m] + pro-L[m] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC01168,his-L[c]  -> nh4[c] + urcan[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC02914,h2o[c] + urcan[c]  -> 4izp[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC01167,h[c] + his-L[c]  -> co2[c] + hista[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RM00734,akg[m] + tyr-L[m]  <=> glu-L[m] + 34hpp[m] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC00734,akg[c] + tyr-L[c]  <=> glu-L[c] + 34hpp[c] ,-1000,1000,"Original iCEL1314 reaction and default constraints."
RC02521,o2[c] + 34hpp[c]  -> co2[c] + hgentis[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC02519,o2[c] + hgentis[c]  -> h[c] + 4mlacac[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC03181,4mlacac[c]  -> 4fumacac[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC01364,h2o[c] + 4fumacac[c]  -> h[c] + fum[c] + acac[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
RC00731,o2[c] + 2 tyr-L[c]  -> 2 34dhphe[c] ,0,1000,"Original iCEL1314 reaction and default constraints."
